state,district,cum_cases,active_cases,latitude,longitude
Perlis,Perlis,18,0,,
Kedah,Baling,1,0,,
Kedah,Kota Setar,28,2,,
Kedah,Kuala Muda,35,1,,
Kedah,Kubang Pasu,8,1,,
Kedah,Kulim,13,0,,
Kedah,Langkawi,4,0,,
Kedah,Padang Terap,1,1,,
Kedah,Pendang,3,0,,
Kedah,Bandar Baharu,1,0,,
Kedah,Sik,1,0,,
Kedah,Yan,0,0,,
Pulau Pinang,Seberang Prai Tengah,40,1,,
Pulau Pinang,Timur Laut,32,1,,
Pulau Pinang,Seberang Prai Selatan,11,0,,
Pulau Pinang,Barat Daya,13,3,,
Pulau Pinang,Seberang Prai Utara,23,2,,
Kuala Lumpur,Cheras,97,32,3.0423,101.7866
Kuala Lumpur,Kepong,168,64,3.214,101.6356
Kuala Lumpur,Lembah Pantai,709,249,3.1225,101.66449
Kuala Lumpur,Titiwangsa,141,46,3.1774,101.7077
Perak,Hilir Perak,65,1,,
Perak,Kinta,94,6,,
Perak,Perak Tengah,11,0,,
Perak,"Larut, Matang, Selama",19,2,,
Perak,Manjung,23,1,,
Perak,Kuala Kangsar,4,0,,
Perak,Hulu Perak,6,0,,
Perak,Kerian,19,2,,
Perak,Batang Padang,4,1,,
Perak,Muallim,5,0,,
Perak,Kampar,2,1,,
Selangor,Petaling,373,83,3.1846,101.536
Selangor,Hulu Langat,471,101,2.9936,101.7892
Selangor,Gombak,146,18,3.2535,101.6533
Selangor,Klang,173,44,3.0449,101.4456
Selangor,Kuala Selangor,35,6,3.3402,101.2498
Selangor,Sepang,71,9,2.6914,101.7505
Selangor,Kuala Langat,32,7,2.8038,101.4951
Selangor,Sabak Bernam,23,3,3.7696,100.9837
Selangor,Hulu Selangor,50,5,3.5601,101.6583
Selangor,Unknown',13,0,,
Putrajaya,Putrajaya,78,29,,
Melaka,Alor Gajah,29,5,,
Melaka,Jasin,72,24,,
Melaka,Melaka Tengah,91,54,,
Negeri Sembilan,Jelebu,2,0,,
Negeri Sembilan,Jempol,12,0,,
Negeri Sembilan,Kuala Pilah,6,0,,
Negeri Sembilan,Port Dickson,9,0,,
Negeri Sembilan,Rembau,53,0,,
Negeri Sembilan,Seremban,332,107,,
Negeri Sembilan,Tampin,19,0,,
Johor,Batu Pahat,53,13,,
Johor,Johor Bahru,201,80,,
Johor,Kluang,222,85,,
Johor,Kulai,45,23,,
Johor,Mersing,4,2,,
Johor,Muar,51,26,,
Johor,Pontian,18,9,,
Johor,Segamat,20,12,,
Johor,Kota Tinggi,26,16,,
Johor,Tangkak,15,5,,
Pahang,Bentong,15,0,,
Pahang,Jerantut,83,19,,
Pahang,Bera,10,0,,
Pahang,Raub,1,0,,
Pahang,Lipis,9,1,,
Pahang,Cameron Highlands,2,0,,
Pahang,Kuantan,128,65,,
Pahang, Maran,6,0,,
Pahang,Pekan,23,0,,
Pahang,Temerloh,7,0,,
Pahang,Rompin,3,0,,
Terengganu,Besut,35,14,,
Terengganu,Dungun,38,27,,
Terengganu,Kemaman,5,2,,
Terengganu,Kuala Terengganu,18,3,,
Terengganu,Marang,2,1,,
Terengganu,Kuala Nerus,4,3,,
Terengganu,Setiu,8,4,,
Terengganu,Hulu Terengganu,0,0,,
Kelantan,Bachok,11,0,,
Kelantan,Gua Musang,2,0,,
Kelantan,Kota Bharu,90,4,,
Kelantan,Tanah Merah,7,1,,
Kelantan,Kuala Krai,11,0,,
Kelantan,Pasir Mas,11,0,,
Kelantan,Pasir Puteh,8,0,,
Kelantan,Tumpat,13,0,,
Kelantan,Jeli,2,0,,
Kelantan,Machang,0,0,,
Sarawak,Kapit,0,0,,
Sarawak,Sri Aman,2,1,,
Sarawak,Asajaya,3,3,,
Sarawak,Baram,0,0,,
Sarawak,Bau,2,1,,
Sarawak,Belaga,0,0,,
Sarawak,Dalat,0,0,,
Sarawak,Daro,0,0,,
Sarawak,Julau,0,0,,
Sarawak,Kanowit,0,0,,
Sarawak,Lundu,0,0,,
Sarawak,Matu,1,0,,
Sarawak,Song,0,0,,
Sarawak,Saratok,0,0,,
Sarawak,Lubok Antu,0,0,,
Sarawak,Kuching,290,190,,
Sarawak,Kota Samaraham,79,62,,
Sarawak,Limbang,8,3,,
Sarawak,Serian,14,9,,
Sarawak,Miri,21,12,,
Sarawak,Sarikei,6,2,,
Sarawak,Bintulu,11,7,,
Sarawak,Simunjan,6,5,,
Sarawak,Mukah,1,1,,
Sarawak,Betong,16,7,,
Sarawak,Lawas,1,0,,
Sarawak,Sibu,5,0,,
Sarawak,Meradong,0,0,,
Sarawak,Pakan,0,0,,
Sarawak,Tatu,0,0,,
Sarawak,Selangau,0,0,,
Sarawak,Unknown,2,0,,
Sabah,Beaufort,11,3,,
Sabah,Kinabatangan,22,6,,
Sabah,Kota Belud,5,0,,
Sabah,Kota Kinabalu,47,18,,
Sabah,Kunak,8,2,,
Sabah,Lahad Datu,42,9,,
Sabah,Papar,4,1,,
Sabah,Putatan,8,1,,
Sabah,Sandakan,21,2,,
Sabah,Semporna,2,0,,
Sabah,Sipitang,4,0,,
Sabah,Tawau,81,21,,
Sabah,Ranau,3,1,,
Sabah,Tuaran,22,10,,
Sabah,Keningau,16,16,,
Sabah,Kota Marudu,0,0,,
Sabah,Kudat,0,0,,
Sabah,Nabawan,0,0,,
Sabah,Pitas,0,0,,
Sabah,Tambunan,3,0,,
Sabah,Tenom,0,0,,
Sabah,Penampang,12,8,,
Sabah,Kuaal Penyu,0,0,,
Sabah,Tongod,0,0,,
Sabah,Beluran,0,0,,
Labuan,Labuan,16,3,,
